NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
2,Vector,2,381501,190750,95375,335516030
2,Hashmap,2,286960,143480,71740,99742830
3,Sequence,300000,37462452,124,62,256258.31
3,Vector,3,671750,223916,111958,285820580
3,Hashmap,3,433380,144460,72230,99066104
4,Sequence,400000,43620422,109,54,293440.7
4,Vector,4,1151448,287862,143931,222328590
4,Hashmap,4,617162,154290,77145,92754360
5,Sequence,500000,53629858,107,53,298343.25
5,Vector,5,1909425,381885,190942,167589660
5,Hashmap,5,922692,184538,92269,77550904
6,Sequence,600000,66737187,111,55,287697.34
6,Vector,6,2470612,411768,205884,155427060
6,Hashmap,6,1148269,191378,95689,74779224
7,Sequence,700000,86493563,123,61,258979.3
7,Vector,7,3673520,524788,262394,121953850
7,Hashmap,7,1387834,198262,99131,72182840
8,Sequence,800000,98850964,123,61,258977.19
8,Vector,8,4543428,567928,283964,112690230
8,Hashmap,8,1704617,213077,106538,67164010
9,Sequence,900000,114293713,126,63,251982.38
9,Vector,9,5686826,631869,315934,101286720
9,Hashmap,9,1913289,212587,106293,67318640
10,Sequence,1000000,112612769,112,56,284161.56
10,Vector,10,7058453,705845,352922,90671420
10,Hashmap,10,2330710,233071,116535,61402388
1,Sequence,100000,10907299,109,54,293384.2
1,Vector,1,120372,120372,60186,531681540
1,Hashmap,1,94638,94638,47319,151218060
2,Sequence,200000,21666148,108,54,295393.7
2,Vector,2,362437,181218,90609,353164060
2,Hashmap,2,226145,113072,56536,126565720
3,Sequence,300000,33188448,110,55,289257.7
3,Vector,3,671959,223986,111993,285731620
3,Hashmap,3,382972,127657,63828,112105544
4,Sequence,400000,48949834,122,61,261493.47
4,Vector,4,1177979,294494,147247,217321220
4,Hashmap,4,617754,154438,77219,92665416
5,Sequence,500000,54389914,108,54,294174.44
5,Vector,5,1862928,372585,186292,171772580
5,Hashmap,5,969838,193967,96983,73780980
6,Sequence,600000,77039770,128,64,249223.13
6,Vector,6,2672144,445357,222678,143704800
6,Hashmap,6,1005005,167500,83750,85439050
7,Sequence,700000,82522642,117,58,271441.78
7,Vector,7,3490291,498613,249306,128356040
7,Hashmap,7,1267243,181034,90517,79051780
8,Sequence,800000,101307878,126,63,252696.75
8,Vector,8,4996727,624590,312295,102467064
8,Hashmap,8,1791454,223931,111965,63908390
9,Sequence,900000,107207485,119,59,268638.9
9,Vector,9,5743092,638121,319060,100294390
9,Hashmap,9,1916282,212920,106460,67213510
10,Sequence,1000000,116694291,116,58,274221.47
10,Vector,10,7689547,768954,384477,83229860
10,Hashmap,10,2560016,256001,128000,55902440
