NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
2,Vector,2,48199.64,24099.82,12049.91,1327810800
2,Hashmap,2,189811.11,94905.555,47452.777,150793280
3,Sequence,3000,565483.56,188.494,94.247,169766.67
3,Vector,3,78968.41,26322.803,13161.401,1215676000
3,Hashmap,3,270165.75,90055.24,45027.62,158914900
4,Sequence,4000,783714.3,195.92801,97.964005,163325.3
4,Vector,4,103866.984,25966.744,12983.372,1232345500
4,Hashmap,4,402879.3,100719.83,50359.914,142088420
5,Sequence,5000,1011941.8,202.388,101.194,158112.14
5,Vector,5,139786.75,27957.35,13978.675,1144600600
5,Hashmap,5,752555.75,150511.13,75255.56,95083464
6,Sequence,6000,1180920.9,196.81999,98.409996,162585.11
6,Vector,6,187555.8,31259.295,15629.647,1023695550
6,Hashmap,6,831893.75,138648.95,69324.48,103218376
7,Sequence,7000,1389495.5,198.499,99.2495,161209.89
7,Vector,7,231330.45,33047.207,16523.604,968311800
7,Hashmap,7,739009.7,105572.82,52786.41,135556860
8,Sequence,8000,1514559.4,189.319,94.6595,169026.88
8,Vector,8,245518.67,30689.834,15344.917,1042690560
8,Hashmap,8,837162.8,104645.35,52322.676,136758300
9,Sequence,9000,1724381.9,191.597,95.7985,167017.22
9,Vector,9,302697.78,33633.086,16816.543,951444030
9,Hashmap,9,1265708.1,140634.22,70317.11,101761290
10,Sequence,10000,1973195.9,197.319,98.6595,162173.95
10,Vector,10,362802.75,36280.273,18140.137,882022000
10,Hashmap,10,1427833.1,142783.31,71391.66,100229640
