NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
8,Hashmap,80,13322755.959,166534.44949,83267.22474,16226216.30729,168889,8113108.153645
9,Sequence,900000,105279928.296,116.9777,58.48885,273556.41732,4,273556.41732
9,Vector,90,9484000.41,105377.78233,52688.89117,121467729.88172,1600000,121467729.88172
9,Hashmap,90,15253415.63,169482.39589,84741.19794,15943980.41064,168889,7971990.20532
10,Sequence,1000000,118619388.044,118.61939,59.30969,269770.40202,4,269770.40202
10,Vector,100,12686679.79,126866.7979,63433.39895,100893221.96095,1600000,100893221.96095
10,Hashmap,100,19260605.37,192606.0537,96303.02685,14029797.85988,168889,7014898.92994
1,Sequence,100000,10071133.33,100.71133,50.35567,317739.81092,4,317739.81092
1,Vector,10,143479.98,14347.998,7173.999,892110523.01513,1600000,892110523.01513
1,Hashmap,10,909792.932,90979.2932,45489.6466,29701527.73181,168889,14850763.865905
2,Sequence,200000,22211793.633,111.05897,55.52948,288135.21797,4,288135.21797
2,Vector,20,543189.31,27159.4655,13579.73275,471290570.8693,1600000,471290570.8693
2,Hashmap,20,1998360.358,99918.0179,49959.00895,27044411.57654,168889,13522205.78827
3,Sequence,300000,33539366.531,111.79789,55.89894,286230.80854,4,286230.80854
3,Vector,30,1134068.643,37802.2881,18901.14405,338603842.34255,1600000,338603842.34255
3,Hashmap,30,2775574.457,92519.14857,46259.57428,29207186.20808,168889,14603593.10404
4,Sequence,400000,46236985.353,115.59246,57.79623,276834.65741,4,276834.65741
4,Vector,40,1870176.162,46754.40405,23377.20203,273771001.04434,1600000,273771001.04434
4,Hashmap,40,4241182.142,106029.55355,53014.77678,25485573.68702,168889,12742786.84351
5,Sequence,500000,56517725.506,113.03545,56.51773,283097.02588,4,283097.02588
5,Vector,50,2924028.904,58480.57808,29240.28904,218876085.36444,1600000,218876085.36444
5,Hashmap,50,5851551.369,117031.02738,58515.51369,23089808.40804,168889,11544904.20402
6,Sequence,600000,72435200.391,120.72533,60.36267,265064.4976,4,265064.4976
6,Vector,60,4320590.578,72009.84297,36004.92148,177753477.47842,1600000,177753477.47842
6,Hashmap,60,8356255.701,139270.92835,69635.46418,19402642.26005,168889,9701321.130025
7,Sequence,700000,83260502.507,118.94358,59.47179,269035.12861,4,269035.12861
7,Vector,70,5747037.451,82100.53501,41050.26751,155906413.98101,1600000,155906413.98101
7,Hashmap,70,11707697.982,167252.82831,83626.41416,16156521.99867,168889,8078260.999335
8,Sequence,800000,95568542.867,119.46068,59.73034,267870.56946,4,267870.56946
8,Vector,80,7722749.21,96534.36513,48267.18256,132595267.84504,1600000,132595267.84504
8,Hashmap,80,12745631.245,159320.39056,79660.19528,16960942.60414,168889,8480471.30207
9,Sequence,900000,99219054.218,110.24339,55.1217,290266.82654,4,290266.82654
9,Vector,90,9704092.543,107823.25048,53911.62524,118712800.28456,1600000,118712800.28456
9,Hashmap,90,15406341.37,171181.57078,85590.78539,15785717.98192,168889,7892858.99096
10,Sequence,1000000,119382680.544,119.38268,59.69134,268045.58127,4,268045.58127
10,Vector,100,11206627.642,112066.27642,56033.13821,114218125.28176,1600000,114218125.28176
10,Hashmap,100,18998047.972,189980.47972,94990.23986,14223692.8972,168889,7111846.4486
1,Sequence,100000,10423575.735,104.23576,52.11788,306996.37834,4,306996.37834
1,Vector,10,142322.782,14232.2782,7116.1391,899364094.77999,1600000,899364094.77999
1,Hashmap,10,955800.436,95580.0436,47790.0218,28271843.14028,168889,14135921.57014
2,Sequence,200000,22619411.346,113.09706,56.54853,282942.81854,4,282942.81854
2,Vector,20,525912.582,26295.6291,13147.81455,486772913.90606,1600000,486772913.90606
2,Hashmap,20,1908922.398,95446.1199,47723.05995,28311512.32581,168889,14155756.162905
3,Sequence,300000,39292142.503,130.97381,65.4869,244323.65833,4,244323.65833
3,Vector,30,1118856.194,37295.20647,18647.60323,343207645.50373,1600000,343207645.50373
3,Hashmap,30,2719503.741,90650.1247,45325.06235,29809379.84303,168889,14904689.921515
4,Sequence,400000,43507956.041,108.76989,54.38495,294199.06529,4,294199.06529
4,Vector,40,1938145.627,48453.64068,24226.82034,264170035.97016,1600000,264170035.97016
4,Hashmap,40,4953568.633,123839.21583,61919.60791,21820422.40819,168889,10910211.204095
5,Sequence,500000,53403888.723,106.80778,53.40389,299603.65027,4,299603.65027
5,Vector,50,2915156.411,58303.12822,29151.56411,219542250.83259,1600000,219542250.83259
5,Hashmap,50,5525308.219,110506.16438,55253.08219,24453151.68761,168889,12226575.843805
6,Sequence,600000,70322309.533,117.20385,58.60192,273028.57553,4,273028.57553
6,Vector,60,4184504.353,69741.73922,34870.86961,183534281.5331,1600000,183534281.5331
6,Hashmap,60,7496478.463,124941.30772,62470.65386,21627947.14882,168889,10813973.57441
7,Sequence,700000,82561578.846,117.94511,58.97256,271312.64098,4,271312.64098
7,Vector,70,5911950.36,84456.43371,42228.21686,151557429.51807,1600000,151557429.51807
7,Hashmap,70,10323975.027,147485.35753,73742.67876,18321981.55316,168889,9160990.77658
8,Sequence,800000,103229755.41,129.03719,64.5186,247990.51299,4,247990.51299
8,Vector,80,7575658.424,94695.7303,47347.86515,135169769.10626,1600000,135169769.10626
8,Hashmap,80,13109390.653,163867.38316,81933.69158,16490310.32198,168889,8245155.16099
9,Sequence,900000,109394652.354,121.54961,60.77481,263266.98225,4,263266.98225
9,Vector,90,9229363.764,102548.48627,51274.24313,124819004.80437,1600000,124819004.80437
9,Hashmap,90,15551561.967,172795.13297,86397.56648,15638310.83438,168889,7819155.41719
10,Sequence,1000000,125610234.683,125.61023,62.80512,254756.31091,4,254756.31091
10,Vector,100,12744132.562,127441.32562,63720.66281,100438377.72189,1600000,100438377.72189
10,Hashmap,100,19297891.271,192978.91271,96489.45636,14002690.56371,168889,7001345.281855
1,Sequence,100000,11201569.876,112.0157,56.00785,285674.24347,4,285674.24347
1,Vector,10,143373.271,14337.3271,7168.66355,892774497.6956,1600000,892774497.6956
1,Hashmap,10,995514.916,99551.4916,49775.7458,27143983.04405,168889,13571991.522025
2,Sequence,200000,23113320.96,115.5666,57.7833,276896.6005,4,276896.6005
2,Vector,20,526718.084,26335.9042,13167.9521,486028499.45057,1600000,486028499.45057
2,Hashmap,20,2058545.103,102927.25515,51463.62758,26253726.4407,168889,13126863.22035
3,Sequence,300000,37042737.95,123.47579,61.7379,259160.10887,4,259160.10887
3,Vector,30,1115651.954,37188.39847,18594.19923,344193364.80631,1600000,344193364.80631
3,Hashmap,30,2919162.177,97305.4059,48652.70295,27770543.42466,168889,13885271.71233
4,Sequence,400000,45779330.963,114.44833,57.22416,279602.16392,4,279602.16392
4,Vector,40,1879806.737,46995.16842,23497.58421,272368424.86111,1600000,272368424.86111
4,Hashmap,40,4216753.022,105418.82555,52709.41278,25633220.49835,168889,12816610.249175
5,Sequence,500000,57873167.893,115.74634,57.87317,276466.63527,4,276466.63527
5,Vector,50,2917199.771,58343.99542,29171.99771,219388471.90455,1600000,219388471.90455
5,Hashmap,50,5853840.09,117076.8018,58538.4009,23080780.80759,168889,11540390.403795
6,Sequence,600000,69347209.977,115.57868,57.78934,276867.66355,4,276867.66355
6,Vector,60,4449564.318,74159.4053,37079.70265,172601168.36455,1600000,172601168.36455
6,Hashmap,60,7891214.323,131520.23872,65760.11936,20546069.76362,168889,10273034.88181
7,Sequence,700000,80981295.032,115.68756,57.84378,276607.08551,4,276607.08551
7,Vector,70,5927038.628,84671.9804,42335.9902,151171614.73644,1600000,151171614.73644
7,Hashmap,70,10035100.835,143358.58336,71679.29168,18849405.01447,168889,9424702.507235
8,Sequence,800000,93946329.35,117.43291,58.71646,272496.01104,4,272496.01104
