NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
3,Sequence,3000,915371.7,305.123,152.5615,104875.74
3,Vector,3,319869.72,106623.25,53311.625,300122180
3,Hashmap,3,512170.7,170723.58,85361.79,83826270
4,Sequence,4000,1230621.1,307.655,153.8275,104012.62
4,Vector,4,555570.8,138892.7,69446.35,230393660
4,Hashmap,4,844541.9,211135.47,105567.734,67781700
5,Sequence,5000,1624588.8,324.917,162.4585,98486.695
5,Vector,5,794501.3,158900.27,79450.13,201384200
5,Hashmap,5,1196363,239272.58,119636.29,59810948
6,Sequence,6000,1958693,326.448,163.224,98024.8
6,Vector,6,1187913.6,197985.61,98992.805,161627920
6,Hashmap,6,1389861.4,231643.56,115821.78,61780780
7,Sequence,7000,2226111.5,318.01498,159.00749,100624.19
7,Vector,7,1684273.9,240610.56,120305.28,132995000
7,Hashmap,7,1837860.4,262551.5,131275.75,54507860
8,Sequence,8000,2672254.8,334.031,167.0155,95799.49
8,Vector,8,2043939.1,255492.39,127746.195,125248350
8,Hashmap,8,2364695.8,295586.97,147793.48,48415936
9,Sequence,9000,3023186.3,335.909,167.9545,95263.9
9,Vector,9,2607376.5,289708.53,144854.27,110455850
9,Hashmap,9,2698199.8,299799.97,149899.98,47735560
10,Sequence,10000,3392018,339.20102,169.60051,94339.34
10,Vector,10,3232861,323286.13,161643.06,98983530
10,Hashmap,10,3356689.8,335668.94,167834.47,42634624
1,Sequence,1000,313699.47,313.699,156.8495,102008.61
1,Vector,1,48721.492,48721.492,24360.746,656794300
1,Hashmap,1,115756.99,115756.99,57878.496,123630720
2,Sequence,2000,619906.06,309.953,154.9765,103241.46
2,Vector,2,155190.67,77595.336,38797.668,412395900
2,Hashmap,2,284834.2,142417.1,71208.55,100487380
3,Sequence,3000,939773.94,313.25702,156.62851,102152.54
3,Vector,3,310953.13,103651.05,51825.523,308728200
3,Hashmap,3,600894.25,200298.08,100149.04,71449110
4,Sequence,4000,1286335.8,321.583,160.7915,99507.74
4,Vector,4,565234.75,141308.69,70654.34,226454580
4,Hashmap,4,798640.56,199660.14,99830.07,71677400
5,Sequence,5000,1604644.5,320.928,160.464,99710.836
5,Vector,5,830607.25,166121.45,83060.73,192630140
5,Hashmap,5,1021322.94,204264.61,102132.305,70061670
6,Sequence,6000,1979226,329.87,164.935,97007.914
6,Vector,6,1177469,196244.83,98122.414,163061620
6,Hashmap,6,1438536.1,239756.03,119878.016,59690344
7,Sequence,7000,2302741.5,328.963,164.4815,97275.375
7,Vector,7,1678256.5,239750.94,119875.47,133471850
7,Hashmap,7,1915137.3,273591.03,136795.52,52308436
8,Sequence,8000,2517604,314.7,157.35,101684.14
8,Vector,8,2066548.9,258318.61,129159.305,123878030
8,Hashmap,8,2255469.5,281933.7,140966.84,50760588
9,Sequence,9000,3014952,334.994,167.497,95524.1
9,Vector,9,2595700.8,288411.2,144205.6,110952696
9,Hashmap,9,2875190.3,319465.6,159732.8,44797060
10,Sequence,10000,3345488,334.548,167.274,95651.445
10,Vector,10,3257851,325785.1,162892.55,98224260
10,Hashmap,10,3304177,330417.7,165208.84,43312210
1,Sequence,1000,309792.97,309.792,154.896,103295.12
1,Vector,1,49049.836,49049.836,24524.918,652397700
1,Hashmap,1,114746.97,114746.97,57373.484,124718940
2,Sequence,2000,611254.4,305.627,152.8135,104702.79
2,Vector,2,170926.58,85463.29,42731.645,374429760
2,Hashmap,2,300556.34,150278.17,75139.086,95230860
3,Sequence,3000,934577.9,311.525,155.7625,102720.49
3,Vector,3,328527.03,109509.016,54754.508,292213380
3,Hashmap,3,544749.6,181583.2,90791.6,78813016
4,Sequence,4000,1286145.6,321.536,160.768,99522.29
