NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Hashmap,10,1066497.6,106649.77,53324.887,13418800,178889
2,Sequence,2000,619217.2,309.608,154.804,103356.5,4
2,Vector,20,572843,28642.148,14321.074,446893860,1600000
2,Hashmap,20,3197810.8,159890.53,79945.266,8950574,178889
3,Sequence,3000,933046.9,311.01498,155.50749,102888.93,4
3,Vector,30,1208355.4,40278.51,20139.256,317787300,1600000
3,Hashmap,30,5502452,183415.06,91707.53,7802587,178889
4,Sequence,4000,1237392.1,309.348,154.674,103443.375,4
4,Vector,40,2058241.6,51456.043,25728.021,248756020,1600000
4,Hashmap,40,7153102,178827.55,89413.77,8002749,178889
5,Sequence,5000,1583324.3,316.664,158.332,101053.484,4
5,Vector,50,3216112,64322.234,32161.117,198998060,1600000
5,Hashmap,50,10279981,205599.63,102799.81,6960674.5,178889
6,Sequence,6000,1972675.4,328.779,164.3895,97329.82,4
6,Vector,60,4615978,76932.97,38466.484,166378610,1600000
6,Hashmap,60,12723580,212059.66,106029.83,6748629,178889
7,Sequence,7000,2304954.5,329.279,164.6395,97182.03,4
7,Vector,70,6106995.5,87242.79,43621.395,146717000,1600000
7,Hashmap,70,16226782,231811.19,115905.59,6173611,178889
8,Sequence,8000,2663719.5,332.964,166.482,96106.484,4
8,Vector,80,7961994.5,99524.94,49762.47,128610984,1600000
8,Hashmap,80,21299280,266241,133120.5,5375250,178889
9,Sequence,9000,2981825.3,331.313,165.6565,96585.41,4
9,Vector,90,10051352,111681.69,55840.844,114611450,1600000
9,Hashmap,90,23928588,265873.2,132936.6,5382686.5,178889
10,Sequence,10000,3419202.5,341.92,170.96,93589.14,4
10,Vector,100,13200275,132002.75,66001.375,96967670,1600000
10,Hashmap,100,27419086,274190.88,137095.44,5219400.5,178889
1,Sequence,1000,299173,299.172,149.586,106961.875,4
1,Vector,10,179639.58,17963.955,8981.978,712538000,1600000
1,Hashmap,10,1255311.1,125531.11,62765.555,11400457,178889
2,Sequence,2000,612859.44,306.429,153.2145,104428.76,4
2,Vector,20,591024.06,29551.205,14775.603,433146460,1600000
2,Hashmap,20,3225362.8,161268.14,80634.07,8874115,178889
3,Sequence,3000,959797.56,319.932,159.966,100021.25,4
3,Vector,30,1227124.3,40904.137,20452.068,312926800,1600000
3,Hashmap,30,5265896.5,175529.88,87764.94,8153096,178889
4,Sequence,4000,1276743.8,319.185,159.5925,100255.336,4
4,Vector,40,2055280.9,51382.023,25691.012,249114370,1600000
4,Hashmap,40,7945750.5,198643.78,99321.89,7204414,178889
5,Sequence,5000,1645359.9,329.07098,164.53549,97243.45,4
5,Vector,50,3248406.3,64968.125,32484.063,197019700,1600000
5,Hashmap,50,10681610,213632.22,106816.11,6698952.5,178889
6,Sequence,6000,1913884.5,318.97998,159.48999,100319.77,4
6,Vector,60,4543840.5,75730.67,37865.336,169020020,1600000
6,Hashmap,60,13285985,221433.1,110716.55,6462954.5,178889
7,Sequence,7000,2266436.8,323.776,161.888,98833.76,4
7,Vector,70,6099367,87133.82,43566.91,146900480,1600000
7,Hashmap,70,15866534,226664.77,113332.38,6313782.5,178889
8,Sequence,8000,2664729.8,333.091,166.5455,96069.836,4
8,Vector,80,7872559.5,98406.99,49203.496,130072056,1600000
8,Hashmap,80,18254520,228181.52,114090.76,6271814,178889
9,Sequence,9000,3005008.8,333.889,166.9445,95840.234,4
9,Vector,90,10340543,114894.92,57447.46,111406140,1600000
9,Hashmap,90,23649600,262773.34,131386.67,5446184.5,178889
10,Sequence,10000,3325135.3,332.513,166.2565,96236.836,4
10,Vector,100,12456176,124561.76,62280.88,102760270,1600000
10,Hashmap,100,29143834,291438.34,145719.17,4910514,178889
